winnaar ; vrije tijd ; ['game', 'jackpot', 'speler', 'loterij', 'prijs']
vluchtmisdrijf ; medische behandeling ; ['ontdekking', 'immuunsysteem', 'virus', 'cel', 'ziekteverwekker']
vluchtmisdrijf ; milieu ; ['landbouwer', 'stikstof', 'natuur', 'natuurgebied', 'boer']
banaan ; sport ; ['club', 'seizoen', 'speler', 'renner', 'ploeg']
vluchtmisdrijf ; economie ; ['wijn', 'fruit', 'vaatwasser', 'vaat', 'fles']
vluchtmisdrijf ; sport ; ['club', 'seizoen', 'speler', 'renner', 'ploeg']
café ; economie ; ['kredietkaart', 'bank', 'verzekering', 'rood', 'kredietlijn']
camera ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
camera ; politiek ; ['partij', 'president', 'verkiezing', 'toespraak', 'platform']
centrum ; economie, business en financiën ; ['huid', 'kapper', 'behandeling', 'zone', 'sessie']
chocolade ; sport ; ['papa', 'wedstrijd', 'voetbal', 'mama', 'renner']
chocolade ; sport ; ['speler', 'stage', 'club', 'buitenland', 'obstakel']
kapper ; economie, business en financiën ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
afval ; kunst en entertainment ; ['concert', 'band', 'release', 'liveconcert', 'muziek']
crisis ; weerfenomeen ; ['sneeuw', 'maximum', 'bui', 'centrum', 'wind']
data ; economie, business en financiën ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
data ; economische sector ; ['zicht', 'bril', 'leesbril', 'opticien', 'glas']
data ; economische sector ; ['teller', 'premie', 'installatie', 'energie', 'dak']
data ; gezondheid ; ['aardappel', 'filodeeg', 'brie', 'spinazie', 'kip']
dienstencentrum ; economie, business en financiën ; ['fietssnelweg', 'fiets', 'fietser', 'weg', 'rustpunt']
dienstencentrum ; gezondheid ; ['straling', 'ziekte', 'bacterie', 'ontdekking', 'gezondheid']
dienstencentrum ; lifestyle en vrije tijd ; ['game', 'console', 'playstation', 'controller', 'spelcomputer']
dienstencentrum ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
dienstencentrum ; milieu ; ['vogel', 'natuur', 'gebied', 'landbouwer', 'stikstof']
dienstencentrum ; misdaad ; ['assisen', 'partij', 'assisenproces', 'verdachte', 'proces']
dienstverlening ; internationale betrekkingen ; ['landbouwer', 'stikstof', 'natuur', 'boer', 'staat']
dier ; economische sector ; ['game', 'console', 'spel', 'controller', 'spelcomputer']
kerncentrale ; kunst en entertainment ; ['oven', 'aardappel', 'filodeeg', 'brie', 'spinazie']
kerncentrale ; misdaad ; ['moord', 'pak', 'seriemoordenaar', 'bank', 'rekening']
dossier ; human interest ; ['rat', 'dier', 'geur', 'vlees', 'onderzoeker']
natuurgebied ; internationale betrekkingen ; ['landbouwer', 'stikstof', 'natuur', 'boer', 'staat']
kerncentrale ; vrije tijd ; ['bos', 'centrum', 'appartement', 'begraafplaats', 'wandelaar']
kerncentrale ; economie ; ['lening', 'verzekering', 'verbod', 'vuurwerk', 'woonlening']
kerncentrale ; lifestyle en vrije tijd ; ['wandeling', 'route', 'afstand', 'knooppunt', 'moeilijkheidsgraad']
club ; pensioen ; ['studiejaar', 'pensioen', 'premie', 'rekening', 'tarief']
eiland ; massamedia ; ['seizoen', 'acteur', 'reeks', 'actrice', 'scène']
eiland ; ongeval ; ['ongeval', 'straf', 'wagen', 'avond', 'vluchtmisdrijf']
eiland ; human interest ; ['rat', 'dier', 'geur', 'vlees', 'onderzoeker']
energie ; familie ; ['penis', 'erectie', 'pleister', 'erectieprobleem', 'uroloog']
energie ; human interest ; ['seizoen', 'jurk', 'kleren', 'serie', 'kleding']
energie ; internationale betrekkingen ; ['migrant', 'premier', 'verblijfsrecht', 'president', 'richtlijn']
leesbril ; sport ; ['speler', 'ploeg', 'wedstrijd', 'seizoen', 'competitie']
leesbril ; wetten en rechten ; ['drones', 'qr-code', 'systeem', 'technologie', 'politiezone']
leesbril ; massamedia ; ['journalist', 'artikel', 'klacht', 'rechtszaak', 'schending']
leesbril ; pensioen ; ['studiejaar', 'pensioen', 'rekening', 'belasting', 'tarief']
leesbril ; internationale betrekkingen ; ['stikstof', 'natuur', 'boer', 'fietser', 'landbouwweg']
spinazie ; medische behandeling ; ['ontdekking', 'immuunsysteem', 'virus', 'cel', 'ziekteverwekker']
spinazie ; weerfenomeen ; ['sneeuw', 'maximum', 'bui', 'centrum', 'wind']
competitie ; lifestyle ; ['soep', 'noedels', 'deeg', 'brood', 'kaas']
fiets ; milieu ; ['stof', 'hout', 'houtkachel', 'verwarming', 'gas']
fiets ; sociale wetenschappen ; ['natuur', 'wolf', 'uitwerpsel', 'schaap', 'vee']
fiets ; verkiezingen ; ['president', 'verkiezing', 'partij', 'aanklager', 'staat']
fonds ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
fonds ; misdaad, recht en justitie ; ['vuilnisbak', 'camera', 'boete', 'fles', 'brood']
gebied ; lifestyle en vrije tijd ; ['game', 'console', 'wijn', 'spel', 'controller']
president ; vrije tijd ; ['vogel', 'natuurgebied', 'soort', 'watervogel', 'natuur']
controller ; milieuvervuiling ; ['dier', 'gevel', 'vlees', 'precisiefermentatie', 'snoeihout']
controller ; samenleving ; ['banaan', 'ingrediënt', 'boter', 'eetstoornis', 'recept']
banaan ; sociale wetenschappen ; ['staal', 'wolf', 'uitwerpsel', 'schaap', 'vee']
gevangenis ; lifestyle ; ['huid', 'haar', 'behandeling', 'zone', 'laser']
gevangenis ; ongeval ; ['zaakvoerder', 'arbeidsongeval', 'gebrek', 'veiligheid', 'restaurant']
deeg ; gezondheid ; ['straling', 'aarde', 'bacterie', 'ontdekking', 'kip']
deeg ; sport ; ['publiek', 'vip', 'toeschouwer', 'amateurclub', 'koers']
deeg ; sportevenement ; ['wedstrijd', 'club', 'seizoen', 'ploeg', 'match']
amateurclub ; economie, business en financiën ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
amateurclub ; internationale betrekkingen ; ['gebruiker', 'mediabedrijf', 'techreuz', 'strijd', 'data']
amateurclub ; internationale betrekkingen ; ['stikstof', 'natuur', 'boer', 'fietser', 'landbouwweg']
amateurclub ; overheidsbeleid ; ['akkoord', 'stap', 'vakbond', 'zorgsector', 'premie']
amateurclub ; wetten en rechten ; ['mensenrechten', 'wet', 'diegene', 'negationist', 'oorlog']
revolutie ; misdaad ; ['hond', 'schaap', 'dier', 'boer', 'vee']
revolutie ; natuurlijke hulpbronnen ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
revolutie ; sport ; ['publiek', 'vip', 'toeschouwer', 'amateurclub', 'koers']
groente ; bedrijfsinformatie ; ['gezondheid', 'werknemer', 'mondmasker', 'werkgever', 'wet']
groente ; lifestyle ; ['huid', 'haar', 'behandeling', 'sessie', 'laser']
groente ; misdaad, recht en justitie ; ['verkeer', 'camera', 'boete', 'auto', 'verkeer']
haar ; economie ; ['kredietkaart', 'bank', 'verzekering', 'rood', 'kredietlijn']
haar ; lifestyle ; ['hamburger', 'ijs', 'shaker', 'bereiding', 'restaurant']
fiets ; human interest ; ['olijfolie', 'eetlepel', 'oven', 'deeg', 'saus']
glas ; kunst en entertainment ; ['museum', 'gescheidenis', 'collaborateur', 'nazi', 'oorlog']
glas ; samenleving ; ['immigrant', 'praktijktest', 'generatie', 'zelfregulering', 'discriminatie']
glas ; verkiezingen ; ['president', 'verkiezing', 'stem', 'staat', 'gouverneur']
hoofd ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
hout ; lifestyle en vrije tijd ; ['game', 'controller', 'achtbaan', 'serie', 'spelcomputer']
huisarts ; misdaad, recht en justitie ; ['gevangenis', 'kok', 'souschef', 'eten', 'quarantaine']
professor ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'glas']
professor ; verkiezingen ; ['president', 'verkiezing', 'partij', 'aanklager', 'staat']
professor ; weerfenomeen ; ['sneeuw', 'maximum', 'bui', 'centrum', 'wind']
kandidaat ; samenleving ; ['banaan', 'ingrediënt', 'boter', 'eetstoornis', 'recept']
kerncentrale ; lifestyle ; ['huid', 'haar', 'zone', 'sessie', 'laser']
kerncentrale ; milieuvervuiling ; ['dier', 'gevel', 'vlees', 'precisiefermentatie', 'snoeihout']
kerncentrale ; economie, business en financiën ; ['huid', 'kapper', 'behandeling', 'zone', 'sessie']
kerncentrale ; sport ; ['speler', 'ploeg', 'club', 'seizoen', 'wedstrijd']
kip ; misdaad ; ['geweld', 'agent', 'proces', 'moord', 'dood']
kip ; verkiezingen ; ['president', 'staat', 'kiesman', 'voorstel', 'stem']
huisarts ; kunst en entertainment ; ['muziek', 'band', 'concert', 'muziek', 'release']
groente ; wetten en rechten ; ['drones', 'qr-code', 'systeem', 'technologie', 'politiezone']
koord ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
koord ; ongeval ; ['ongeval', 'bestuurder', 'cliënt', 'appartement', 'advocaat']
koord ; politiek ; ['partij', 'president', 'verkiezing', 'toespraak', 'platform']
hond ; economie, business en financiën ; ['auto', 'vervoer', 'halte', 'chauffeur', 'fietser']
groente ; pensioen ; ['studiejaar', 'pensioen', 'premie', 'belasting', 'tarief']
landbouw ; sport ; ['schorsing', 'fraude', 'speeldag', 'doping', 'fiets']
landbouw ; wetten en rechten ; ['mensenrechten', 'regime', 'arrestatie', 'president', 'executie']
psycholoog ; internationale betrekkingen ; ['landbouwer', 'natuur', 'natuurgebied', 'boer', 'staat']
lichaam ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
makelaar ; misdaad ; ['bank', 'bericht', 'dader', 'mail', 'gsm']
markt ; sportevenement ; ['speler', 'voetbal', 'ploeg', 'coach', 'club']
rapport ; economie ; ['wijn', 'vlek', 'vaatwasser', 'vaat', 'fles']
migrant ; rechterlijke macht ; ['oorlog', 'collaborateur', 'geweld', 'nazi', 'cel']
migrant ; human interest ; ['seizoen', 'jurk', 'kleren', 'serie', 'kleding']
mond ; lifestyle en vrije tijd ; ['wandeling', 'route', 'afstand', 'knooppunt', 'moeilijkheidsgraad']
suiker ; verkiezingen ; ['president', 'macht', 'stem', 'staat', 'advocaat']
suiker ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
suiker ; pensioen ; ['studiejaar', 'pensioen', 'premie', 'rekening', 'tarief']
oorlog ; milieuvervuiling ; ['dier', 'gevel', 'vlees', 'precisiefermentatie', 'snoeihout']
suiker ; politiek ; ['partij', 'president', 'verkiezing', 'toespraak', 'platform']
oorlog ; sportevenement ; ['wedstrijd', 'club', 'seizoen', 'ploeg', 'match']
aandeel ; economie ; ['wijn', 'fruit', 'groenten', 'vlees', 'aardappel']
aandeel ; lifestyle en vrije tijd ; ['game', 'console', 'winnaar', 'spel', 'controller']
aandeel ; milieu ; ['vogel', 'natuur', 'gebied', 'landbouwer', 'stikstof']
aandeel ; natuurlijke hulpbronnen ; ['zonnepaneel', 'premie', 'stroom', 'teller', 'installatie']
oven ; milieu ; ['ijsberg', 'bangladesh', 'vulkaan', 'bhasan', 'natuur']
oven ; natuurlijke hulpbronnen ; ['zonnepaneel', 'premie', 'stroom', 'teller', 'installatie']
oven ; samenleving ; ['immigrant', 'praktijktest', 'generatie', 'zelfregulering', 'discriminatie']
oven ; sport ; ['startgeld', 'cross', 'top', 'crosser', 'wedstrijd']
papier ; rechterlijke macht ; ['veroordeling', 'collaborateur', 'oorlog', 'nazi', 'cel']
papier ; sport ; ['speler', 'ploeg', 'wedstrijd', 'seizoen', 'trainer']
parket ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'glas']
parket ; natuurwetenschappen ; ['planeet', 'baan', 'zonnestelsel', 'exoplaneet', 'ster']
parket ; sport ; ['ploeg', 'koersfiets', 'fiets', 'wedstrijd', 'rit']
partij ; economische sector ; ['zicht', 'bril', 'leesbril', 'opticien', 'glas']
politicus ; kunst, cultuur en entertainment ; ['kleren', 'modeshow', 'interview', 'ontwerper', 'model']
bed ; lifestyle ; ['glas', 'elektriciteit', 'tocht', 'raam', 'binnenmuurisolatie']
bed ; milieu ; ['fabriek', 'boete', 'geurhinder', 'afval', 'bezinkingsvijver']
politicus ; ongeval ; ['ongeval', 'straf', 'wagen', 'avond', 'vluchtmisdrijf']
pot ; economie, business en financiën ; ['bestuurder', 'wagen', 'fietser', 'reactor', 'vrachtwagen']
pot ; misdaad ; ['bank', 'overval', 'dader', 'geweld', 'dood']
pot ; weer ; ['maximum', 'zee', 'sneeuw', 'wind', 'regen']
leerling ; economische sector ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
leerling ; internationale betrekkingen ; ['stikstof', 'natuur', 'boer', 'fietser', 'landbouwweg']
leerling ; natuurlijke hulpbronnen ; ['zonnepaneel', 'premie', 'stroom', 'teller', 'installatie']
oven ; internationale betrekkingen ; ['akkoord', 'landbouwer', 'stikstof', 'natuur', 'natuurgebied']
procedure ; sport ; ['wedstrijd', 'punt', 'speler', 'seizoen', 'ploeg']
oven ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
bed ; natuurlijke hulpbronnen ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
bed ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'straling', 'afval']
patiënt ; politiek ; ['president', 'staat', 'verkiezing', 'kiesman', 'hertelling']
quarantaine ; sport ; ['ploeg', 'koersfiets', 'fiets', 'koers', 'wedstrijd']
quarantaine ; weerfenomeen ; ['sneeuw', 'maximum', 'bui', 'centrum', 'wind']
recept ; geloof ; ['les', 'kaars', 'meningsuiting', 'kerk', 'geloof']
recht ; sport ; ['ploeg', 'koersfiets', 'koerts', 'fiets', 'wedstrijd']
school ; demografie ; ['asielzoeker', 'opvangcentrum', 'opvang', 'staatssecretaris', 'privatisering']
rechtbank ; sport ; ['speler', 'club', 'transfer', 'team', 'data']
school ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
school ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
ingrediënt ; internationale betrekkingen ; ['platform', 'mediabedrijf', 'techreuz', 'technologie', 'data']
ingrediënt ; sport ; ['speler', 'wedstrijd', 'scheidsrechter', 'club', 'ploeg']
ingrediënt ; natuurlijke hulpbronnen ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
reis ; economie, business en financiën ; ['huid', 'kapper', 'behandeling', 'zone', 'sessie']
reis ; internationale betrekkingen ; ['president', 'journalist', 'premier', 'artikel', 'aanleiding']
aardgas ; kunst en entertainment ; ['master', 'muziek', 'plaat', 'album', 'auteursrecht']
aardgas ; lifestyle ; ['huid', 'dagcrème', 'licht', 'zon', 'gezicht']
aardgas ; lifestyle en vrije tijd ; ['game', 'console', 'wijn', 'spel', 'controller']
aardgas ; verkiezingen ; ['president', 'staat', 'kiesman', 'voorstel', 'stem']
route ; economie ; ['wijn', 'fruit', 'fles', 'tannines', 'neus']
route ; milieu ; ['reactor', 'ontmanteling', 'splijtstof', 'kerncentrale', 'afval']
route ; weerfenomeen ; ['sneeuw', 'maximum', 'bui', 'centrum', 'wind']
tuin ; bedrijfsinformatie ; ['game', 'controller', 'serie', 'spelcomputer', 'console']
tuin ; economische sector ; ['bus', 'tram', 'halte', 'vervoer', 'autocar']
tuin ; lifestyle en vrije tijd ; ['game', 'controller', 'achtbaan', 'serie', 'spelcomputer']
tuin ; misdaad, recht en justitie ; ['bemiddelaar', 'buurtbemiddelaar', 'code', 'partij', 'buur']
suiker ; natuurwetenschappen ; ['planeet', 'baan', 'zonnestelsel', 'exoplaneet', 'ster']
suiker ; internationale betrekkingen ; ['president', 'journalist', 'premier', 'artikel', 'aanleiding']
suiker ; ongeval ; ['ongeval', 'bestuurder', 'cliënt', 'appartement', 'advocaat']
suiker ; ongeval ; ['zaakvoerder', 'arbeidsongeval', 'gebrek', 'veiligheid', 'ongeval']
deeg ; kunst, cultuur en entertainment ; ['persconferentie', 'dossier', 'logo', 'uitzending', 'reportage']
deeg ; natuurlijke hulpbronnen ; ['zonnepaneel', 'premie', 'stroom', 'teller', 'installatie']
deeg ; vrije tijd ; ['bos', 'centrum', 'appartement', 'begraafplaats', 'wandelaar']
muziek ; economie, business en financiën ; ['fietssnelweg', 'fiets', 'fietser', 'weg', 'rustpunt']
muziek ; rechterlijke macht ; ['rechtbank', 'huurwaarborg', 'eigenaar', 'verdenking', 'onderzoeksrechter']
muziek ; economische sector ; ['zonnepaneel', 'journalist', 'buitenland', 'eigenaar', 'lening']
muziek ; sociale wetenschappen ; ['staal', 'wolf', 'uitwerpsel', 'schaap', 'vee']
diepvries ; economische sector ; ['journalist', 'platform', 'moord', 'intimidatie', 'gebruiker']
wandelaar ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'afwas']
staatssecretaris ; lifestyle en vrije tijd ; ['wandeling', 'route', 'afstand', 'knooppunt', 'moeilijkheidsgraad']
stem ; lifestyle en vrije tijd ; ['wandeling', 'route', 'afstand', 'knooppunt', 'moeilijkheidsgraad']
stikstof ; human interest ; ['olijfolie', 'eetlepel', 'oven', 'deeg', 'saus']
stock ; economische sector ; ['bus', 'tram', 'halte', 'vervoer', 'autocar']
rijbewijs ; lifestyle en vrije tijd ; ['game', 'controller', 'achtbaan', 'serie', 'spelcomputer']
rijbewijs ; economie ; ['vaatwasser', 'vaat', 'reinigingsmiddel', 'servies', 'glas']
rijbewijs ; milieu ; ['fabriek', 'boete', 'geurhinder', 'melding', 'bezinkingsvijver']
